id,geometry,timestamp,dB,frequency,Spotter
1517016863,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.0417,41.0625]]}","2023/01/18 14:02:00",1,14058.3,NC7J
1517016850,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,34.0625]]}","2023/01/18 14:02:00",6,14058.3,N6WIN-7
1517016679,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.2083,37.3958]]}","2023/01/18 14:01:00",1,14057.7,W6YX
1517016613,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-123.0417,45.3542]]}","2023/01/18 14:01:00",11,14057.7,K2PO/7
1517015328,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-123.0417,45.3542]]}","2023/01/18 13:56:00",15,14058.4,K2PO/7
1517058374,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,53.7292]]}","2023/01/18 17:47:00",6,14057.6,VE6JY
1517057189,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-94.9583,39.1458]]}","2023/01/18 17:41:00",5,14057.6,K3PA-1
1517056514,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-94.9583,39.1458]]}","2023/01/18 17:37:00",6,14057.6,K3PA-1
1517056352,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,53.7292]]}","2023/01/18 17:37:00",8,14057.7,VE6JY
1517054921,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-114.4583,51.8125]]}","2023/01/18 17:28:00",3,14057.7,VE6WZ
1517053425,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.0417,47.5208]]}","2023/01/18 17:19:00",4,14057.7,WF7U
1517053296,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 17:18:00",13,14057.7,WA7AI
1517053249,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 17:18:00",13,14057.7,WA7AI
1517050827,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 17:07:00",12,14058.3,WA7AI
1517049777,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 17:01:00",11,14058.3,WA7AI
1517048751,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-112.7917,53.7292]]}","2023/01/18 16:56:00",6,14058.4,VE6JY
1517048648,"{""type"":""LineString"",""coordinates"":[[-122.42299,37.72286],[-122.7083,47.1875]]}","2023/01/18 16:55:00",12,14057.7,WA7AI
